member_id,name,age,club,gender,weight_class,entry_total,session_number,session_platform,meet
63,Melanie Calderon,17,Bull Strength Barbell TXOK,Male,63kg,80,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
39,Liz Morrow,39,"Tacoma Strength Weightlifting W35, Open",Male,401kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Irina Sibiryakova,72,"Plano Weightlifting TXOK W40, TXOK",Female,40kg,109,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
40,Ann Tran,40,"DEUCE Weightlifting W40, Open",Male,204kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
47,Olivia Topete,47,"Houston Weightlifting Academy TXOK W45, TXOK, W45, Open",Male,560kg,95,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
45,Latisha Hoover,46,Unaffiliated,Male,46kg,80,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Tania Flores,83,Austin Barbell TXOK,Male,63kg,85,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Alena Morris,22,PIONEER WLC Open,Male,63kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Sasha Mcclain,16,Austin Barbell TXOK,Male,63kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Ashlee Kim,93,"BLACK & RED BARBELL CLUB W35, Open",Female,35kg,111,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
42,Nina Chan,42,"Leo's Den W40, Open",Male,480kg,120,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
41,Amanda Whiting,41,"Strong Weightlifting TXOK W40, TXOK, W40, Open",Male,172kg,112,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Morgan White,45,Unaffiliated,Female,45kg,117,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Erica Miranda,30,Bowen Elite Weightlifting Open,Male,104kg,121,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
